"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@Zomato @ZomatoIN @deepigoyal @jagograhakjago and the fraudulent prices aren't even that  minimal of an  increase a… https://t.co/ArfAP90Q3p",FALSE,0,"Zomato",2019-09-04 13:20:55,TRUE,NA,"1169238916752297985","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sudeepc63649118",0,FALSE,FALSE,NA,NA
"@zomatocare @Zomato @ZomatoIN 
Dear Team,
Thanks you for refund in the account from which it was debited.

Please i… https://t.co/oIxUcvJN9V",FALSE,0,"zomatocare",2019-09-04 13:20:02,TRUE,NA,"1169238691706884096","988362975617601536","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shubham18",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN In love with the new UI. Have been waiting for this a long time. Great job #zomato <U+2665><U+FE0F> https://t.co/pqedkyaXPy",FALSE,0,"Zomato",2019-09-04 13:15:53,FALSE,NA,"1169237649145511936","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ahabrahmasmi",0,FALSE,FALSE,NA,NA
"RT @thesuniljain: An @amazon or @WalmartInc can't discount on their marketplaces but a @reliancegroup Retail can! This is unfair to FDI @Pi…",FALSE,0,NA,2019-09-04 13:08:25,FALSE,NA,"1169235771309428738",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","khanamirullah",31,TRUE,FALSE,NA,NA
"@ET_RISE @EconomicTimes @NRAI_India @swiggy_in @Zomato @UberEats @foodpandaIndia Please don't order anything from S… https://t.co/wChs0uBVJy",FALSE,0,"ET_RISE",2019-09-04 13:05:31,TRUE,"1169158154443091968","1169235038233354241","3188580042","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GreenCoder_",0,FALSE,FALSE,NA,NA
"@ZomatoIN @Zomato @Zomato @ZomatoIN @deepigoyal @jagograhakjago Apart from the religious issues concerning your del… https://t.co/dVtBzrvfKL",FALSE,0,"ZomatoIN",2019-09-04 13:04:10,TRUE,"1156429449258250240","1169234700155535360","3282245130","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sudeepc63649118",0,FALSE,FALSE,NA,NA
"@zomatocare @zomatocare And after that I've received multiple automated mails claiming that it's ""policy"" to charge… https://t.co/9k6wJoLIPF",FALSE,0,"zomatocare",2019-09-04 13:01:19,TRUE,"1169223447873867782","1169233983650988033","988362975617601536","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","offharshitside",0,FALSE,FALSE,NA,NA
"Have a look at this review of @Jugmugthela, Champa Gali, Saket, New Delhi on @Zomato — https://t.co/9Ns6ySc3Xn",FALSE,0,NA,2019-09-04 12:55:52,FALSE,NA,"1169232609898987522",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UntamedBachelor",0,FALSE,FALSE,NA,NA
"@ZomatoIN @Zomato @zomatocare look at this peeps https://t.co/5ixHOav4gu",FALSE,0,"gehaninitisha",2019-09-04 12:50:36,FALSE,"1169222615296118784","1169231284398219266","197807950","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gehaninitisha",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN @deepigoyal @burgerkingindia @jagograhakjago sorry, my mistake. You guys don't even spare the fam… https://t.co/uv5b3gAkM6",FALSE,0,"Zomato",2019-09-04 12:41:09,TRUE,NA,"1169228908035624960","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sudeepc63649118",0,FALSE,FALSE,NA,NA
